item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
mutationRate.s:white                     0.72976  0.002849 0.257232 0.708455 0.264495 1.234125 22077.78 8153.444 0.683222
mutationRate.s:who                       0.66687  0.002858 0.248597 0.639506 0.219022 1.141025 23795.15 7564.984 0.61971 
mutationRate.s:wind                      0.502747 0.002195 0.210652 0.471671 0.138947 0.906427 19544.68 9210.177 0.459928
mutationRate.s:woman                     1.667818 0.007509 0.545443 1.629561 0.660759 2.729122 34119.63 5275.847 1.577109
mutationRate.s:year                      1.05478  0.004613 0.384236 1.011425 0.392692 1.834542 25940.67 6939.293 0.984877
mutationRate.s:yellow                    0.918444 0.004159 0.344378 0.879684 0.304791 1.570069 26258.31 6855.352 0.853834
mutationRate.s:you_sing                  0.906167 0.003544 0.324799 0.885415 0.339577 1.531096 21435.69 8397.676 0.846964
TreeHeight.t:utoaztecan                  5571.147 19.20599 1225.071 5442.024 3505.341 7899.846 44243.29 4068.639 5440.505
bcov_alpha.s:all                         0.167315 0.00223  0.074804 0.163345 0.02147  0.30837  159911.6 1125.683 0.146687
bcov_s.s:all                             0.422059 0.004377 0.1619   0.395657 0.150802 0.756704 131570.3 1368.165 0.390412
frequencies.s:all1                       0.983851 2.34E-5  0.001586 0.983892 0.980746 0.986903 39350.42 4574.537 0.98385 
frequencies.s:all2                       0.016149 2.34E-5  0.001586 0.016108 0.013097 0.019254 39350.42 4574.537 0.016071
hiddenfrequencies.s:all1                 0.5      0        0        0.5      0.5      0.5      NaN      NaN      0.5     
hiddenfrequencies.s:all2                 0.5      0        0        0.5      0.5      0.5      NaN      NaN      0.5     
BirthDeathSkySerial.t:utoaztecan         -317.091 0.053685 4.158692 -316.997 -325.104 -308.826 29998.07 6000.717 NaN     
origin.t:utoaztecan                      6743.822 19.89553 1497.954 6663.573 4141.367 9611.996 31754.90 5668.731 6574.028
rho.t:utoaztecan                         0.86563  0.00105  0.136366 0.912507 0.57895  0.999997 10668.95 16872.31 0.852593
becomeUninfectiousRate.t:utoaztecan      0.000214 5.35E-7  6.38E-5  0.000207 0.000101 0.000342 12661.53 14217.07 0.000205
reproductiveNumber.t:tree                3.165473 0.008699 1.144783 2.938324 1.391254 5.451259 10395.14 17316.73 2.987145
logP(mrca(PNUA1))                        -7.33292 0.010487 1.004214 -7.09549 -9.29956 -6.1904  19629.83 9170.227 NaN     
mrcatime(PNUA1)                          3498.876 2.823176 264.2487 3462.870 3044.107 4022.083 20546.92 8760.921 3489.240
monophyletic(PUA1)                       0.809622 0.006109 0.3926   1        0        1        43583.41 4130.241 NaN     
mrcatime(PUA1)                           4094.809 7.043198 474.6978 4029.461 3258.226 5025.079 39627.97 4542.498 4068.568
monophyletic(PSUA1)                      0.980668 0.002129 0.13769  1        1        1        43022.26 4184.112 NaN     
mrcatime(PSUA1)                          3298.600 9.329105 455.6932 3238.086 2480.856 4185.294 75445.15 2385.971 3269.104
logP(mrca(PTakic1))                      -6.59242 0.004185 0.561548 -6.37810 -7.69361 -6.21020 10000    18001    NaN     
mrcatime(PTakic1)                        2843.112 0.991381 127.3905 2821.685 2631.228 3095.316 10901.93 16511.75 2840.336
monophyletic(Tubatulabel-origin1)        1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(Tubatulabel-origin1))          -6.28701 0.014015 1.625997 -5.72174 -9.65867 -4.70643 13372.55 13461.14 NaN     
mrcatime(Tubatulabel-origin1.originate)  2567.781 1.796113 207.5701 2489.753 2382.297 3003.188 13478.26 13355.57 2560.199
logP(mrca(PNumic1))                      -5.48622 0.007357 0.871261 -5.17433 -7.32834 -4.70643 12834.49 14025.48 NaN     
mrcatime(PNumic1)                        1372.286 0.727551 84.44029 1346.078 1282.151 1542.966 13363.62 13470.15 1369.881
logP(mrca(PNahua1))                      -6.09184 0.003815 0.511868 -5.89643 -7.10671 -5.74214 10000    18001    NaN     
mrcatime(PNahua1)                        1642.234 0.574306 74.78804 1625.475 1533.094 1789.882 10614.97 16958.12 1640.601
ucldMean.c:utoaztecan                    1.58E-5  6.62E-8  2.94E-6  1.54E-5  1.07E-5  2.19E-5  91635.23 1964.419 1.56E-5 
ucldStdev.c:utoaztecan                   0.599571 0.001874 0.097092 0.592689 0.420705 0.795675 67073.91 2683.755 0.591829
rate.c:utoaztecan.mean                   1.54E-5  4.81E-8  2.37E-6  1.52E-5  1.12E-5  2.04E-5  73921.13 2435.162 1.53E-5 
rate.c:utoaztecan.variance               1.04E-10 1.5E-12  6.89E-11 8.72E-11 1.68E-11 2.29E-10 85347.14 2109.150 8.81E-11
rate.c:utoaztecan.coefficientOfVariation 0.623063 0.00193  0.110362 0.612488 0.416582 0.838586 55023.40 3271.516 0.613625
