item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.knee                      -62.2963 0.00981  1.082419 -62.2978 -64.4341 -60.0917 14786.35 12174.06 NaN     
treeLikelihood.know                      -83.8948 0.011438 1.280693 -83.8245 -86.4483 -81.5134 14357.76 12537.46 NaN     
treeLikelihood.leaf                      -75.9940 0.041663 1.473255 -75.7833 -79.2754 -73.5451 143956.8 1250.444 NaN     
treeLikelihood.lie                       -59.2037 0.008839 0.988409 -59.1235 -61.2031 -57.4315 14394.82 12505.18 NaN     
treeLikelihood.liver                     -27.1204 0.018391 1.533356 -26.8034 -30.4969 -24.7479 25895.94 6951.282 NaN     
treeLikelihood.long                      -82.3037 0.009992 1.033546 -82.2758 -84.3356 -80.2935 16824.64 10699.18 NaN     
treeLikelihood.louse                     -58.1185 0.013871 1.160174 -58.0556 -60.4430 -55.9446 25733.04 6995.284 NaN     
treeLikelihood.man                       -79.3575 0.008635 0.947397 -79.2727 -81.1666 -77.5151 14952.36 12038.89 NaN     
treeLikelihood.many                      -78.5044 0.00891  0.95847  -78.4252 -80.4218 -76.6980 15555.10 11572.40 NaN     
treeLikelihood.meat                      -85.6425 0.010159 1.161202 -85.6013 -88.0094 -83.4520 13776.99 13065.98 NaN     
treeLikelihood.moon                      -11.7236 0.012934 0.638221 -11.6331 -12.9598 -10.6232 73924.49 2435.052 NaN     
treeLikelihood.mountain                  -98.4154 0.010971 1.230356 -98.3395 -100.788 -95.9897 14313.99 12575.80 NaN     
treeLikelihood.mouth                     -53.1841 0.011511 1.0431   -53.1240 -55.2682 -51.2139 21920.91 8211.792 NaN     
treeLikelihood.name                      -28.8748 0.009579 0.856718 -28.8054 -30.4928 -27.2245 22504.26 7998.926 NaN     
treeLikelihood.navel_bellybutton         -68.0379 0.009278 0.967739 -67.9369 -70.0213 -66.3060 16545.88 10879.44 NaN     
treeLikelihood.neck                      -87.6582 0.014441 1.47419  -87.6157 -90.5943 -84.7963 17272.64 10421.68 NaN     
treeLikelihood.new                       -88.8770 0.012255 1.184648 -88.8068 -91.1930 -86.5871 19262.59 9345.054 NaN     
treeLikelihood.night                     -33.0951 0.007555 0.723433 -33.0299 -34.4936 -31.7428 19631.70 9169.349 NaN     
treeLikelihood.no_not                    -65.4632 0.011273 1.077584 -65.3835 -67.5962 -63.4690 19701.92 9136.671 NaN     
treeLikelihood.nose                      -46.3356 0.00862  0.935129 -46.2645 -48.2101 -44.6450 15297.17 11767.53 NaN     
treeLikelihood.old                       -130.416 0.016216 1.237992 -130.355 -132.794 -128.025 30884.50 5828.489 NaN     
treeLikelihood.one                       -53.9768 0.008974 1.023867 -53.9160 -55.9866 -52.0342 13828.10 13017.68 NaN     
treeLikelihood.path_road                 -30.8684 0.011889 0.907518 -30.7851 -32.6283 -29.1814 30891.77 5827.117 NaN     
treeLikelihood.person                    -62.7569 0.00883  0.991958 -62.6911 -64.7040 -60.9164 14262.82 12620.92 NaN     
treeLikelihood.rain                      -97.9662 0.010595 1.088958 -97.8908 -100.164 -95.9063 17041.35 10563.12 NaN     
treeLikelihood.red                       -88.2492 0.008939 0.953831 -88.1841 -90.1191 -86.4326 15810.66 11385.35 NaN     
treeLikelihood.root                      -50.8650 0.008958 0.906171 -50.7907 -52.6744 -49.1695 17590.81 10233.18 NaN     
treeLikelihood.rope                      -122.621 0.011863 1.243179 -122.559 -125.094 -120.294 16390.68 10982.45 NaN     
treeLikelihood.round                     -131.919 0.013662 1.194559 -131.835 -134.301 -129.684 23546.72 7644.798 NaN     
