Site,Label,concepticonReference,Concepticon_Gloss
1,all_1,98,all
2,all_10,98,all
3,all_11,98,all
4,all_12,98,all
5,all_13,98,all
6,all_14,98,all
7,all_15,98,all
8,all_16,98,all
9,all_17,98,all
10,all_18,98,all
11,all_19,98,all
12,all_2,98,all
13,all_3,98,all
14,all_4,98,all
15,all_5,98,all
16,all_6,98,all
17,all_7,98,all
18,all_8,98,all
19,all_9,98,all
20,all_u155,98,all
21,all_u6,98,all
22,all_u7,98,all
23,arm_1,1673,arm
24,arm_2,1673,arm
25,arm_3,1673,arm
26,arm_4,1673,arm
27,arm_6,1673,arm
28,arm_7,1673,arm
29,arm_8,1673,arm
30,arm_u161,1673,arm
31,arm_u162,1673,arm
32,arm_u84,1673,arm
33,ash_1,646,ash
34,ash_10,646,ash
35,ash_12,646,ash
36,ash_3,646,ash
37,ash_4,646,ash
38,ash_5,646,ash
39,ash_6,646,ash
40,ash_7,646,ash
41,ash_8,646,ash
42,ash_9,646,ash
43,bark_1,1204,bark
44,bark_10,1204,bark
45,bark_11,1204,bark
46,bark_12,1204,bark
47,bark_2,1204,bark
48,bark_3,1204,bark
49,bark_4,1204,bark
50,bark_5,1204,bark
51,bark_6,1204,bark
52,bark_7,1204,bark
53,bark_8,1204,bark
54,bark_9,1204,bark
55,bark_u110,1204,bark
56,belly_1,1251,belly
57,belly_2,1251,belly
58,belly_3,1251,belly
59,belly_4,1251,belly
60,belly_5,1251,belly
61,belly_6,1251,belly
62,belly_7,1251,belly
63,belly_8,1251,belly
64,belly_9,1251,belly
65,belly_u104,1251,belly
66,belly_u105,1251,belly
67,belly_u2,1251,belly
68,big_1,1202,big
69,big_10,1202,big
70,big_11,1202,big
71,big_2,1202,big
72,big_3,1202,big
73,big_4,1202,big
74,big_5,1202,big
75,big_6,1202,big
76,big_7,1202,big
77,big_8,1202,big
78,big_9,1202,big
79,bird_1,937,bird
80,bird_10,937,bird
81,bird_11,937,bird
82,bird_12,937,bird
83,bird_13,937,bird
84,bird_14,937,bird
85,bird_15,937,bird
86,bird_16,937,bird
87,bird_2,937,bird
88,bird_3,937,bird
89,bird_4,937,bird
